%Time, Value
12:51:27, 674
12:51:27, 612
12:51:27, 519
12:51:27, 359
12:51:27, 168
12:51:27, 9.43
12:51:27, -87.3
12:51:27, -135
12:51:27, -159
12:51:27, -174
12:51:27, -173
12:51:27, -149
12:51:27, -112
12:51:27, -92.6
12:51:27, -107
12:51:27, -144
12:51:27, -182
12:51:27, -203
12:51:27, -197
12:51:27, -167
12:51:27, -125
12:51:27, -78.7
12:51:27, -26.1
12:51:27, 24.9
12:51:27, 63.3
12:51:27, 116
12:51:27, 220
12:51:27, 350
12:51:27, 442
12:51:27, 476
12:51:27, 491
12:51:27, 519
12:51:27, 553
12:51:27, 559
12:51:27, 512
12:51:27, 438
12:51:27, 377
12:51:27, 327
12:51:27, 259
12:51:27, 207
12:51:27, 238
12:51:27, 325
12:51:27, 355
12:51:27, 293
12:51:27, 223
12:51:27, 215
12:51:27, 237
12:51:27, 221
12:51:27, 161
12:51:27, 96.1
12:51:27, 49.4
12:51:27, 14.1
12:51:27, -41.8
12:51:27, -71.1
12:51:27, -72.7
12:51:27, -41.1
12:51:27, -3.87
12:51:27, -2.98
12:51:27, -42.9
12:51:27, -71.4
12:51:27, -37.8
12:51:27, 48.6
12:51:27, 136
12:51:27, 175
12:51:27, 137
12:51:27, 48.8
12:51:27, -20.1
12:51:27, -12.7
12:51:27, 64.7
12:51:27, 159
12:51:27, 212
12:51:27, 196
12:51:27, 146
12:51:27, 124
12:51:27, 156
12:51:27, 209
12:51:27, 249
12:51:27, 264
12:51:27, 260
12:51:27, 248
12:51:27, 231
12:51:27, 195
12:51:27, 142
12:51:27, 107
12:51:27, 129
12:51:27, 198
12:51:27, 258
12:51:27, 267
12:51:27, 230
12:51:27, 187
12:51:27, 162
12:51:27, 154
12:51:27, 157
12:51:27, 164
12:51:27, 162
12:51:27, 140
12:51:27, 98.1
12:51:27, 47.1
12:51:27, 14.5
12:51:27, 25.1
12:51:27, 68
12:51:27, 104
12:51:27, 107
12:51:27, 87.5
12:51:27, 74
12:51:27, 94
12:51:27, 153
12:51:27, 230
12:51:27, 287
12:51:27, 306
12:51:27, 308
12:51:27, 337
12:51:27, 409
12:51:27, 486
12:51:27, 532
12:51:27, 552
12:51:27, 536
12:51:27, 544
12:51:27, 542
12:51:27, 557
12:51:27, 590
12:51:27, 600
12:51:27, 580
12:51:27, 570
12:51:27, 570
12:51:27, 532
12:51:27, 453
12:51:27, 393
12:51:27, 374
12:51:27, 347
12:51:27, 287
12:51:27, 236
12:51:27, 231
12:51:27, 243
12:51:27, 223
12:51:27, 166
12:51:27, 110
12:51:27, 91.3
12:51:27, 97
12:51:27, 85
12:51:27, 44.6
12:51:27, 9.26
12:51:27, -6.57
12:51:27, -39.4
12:51:27, -116
12:51:27, -206
12:51:27, -260
12:51:27, -270
12:51:27, -272
12:51:27, -306
12:51:27, -373
12:51:27, -451
12:51:27, -510
12:51:27, -544
12:51:27, -566
12:51:27, -581
12:51:27, -571
12:51:27, -533
12:51:27, -508
12:51:27, -526
12:51:27, -559
12:51:27, -566
12:51:27, -545
12:51:27, -524
12:51:27, -525
12:51:27, -531
12:51:27, -519
12:51:27, -498
12:51:27, -503
12:51:27, -543
12:51:27, -589
12:51:27, -609
12:51:27, -601
12:51:27, -586
12:51:27, -580
12:51:27, -584
12:51:27, -587
12:51:27, -581
12:51:27, -562
12:51:27, -532
12:51:28, -483
12:51:28, -460
12:51:28, -444
12:51:28, -428
12:51:28, -408
12:51:28, -395
12:51:28, -399
12:51:28, -411
12:51:28, -415
12:51:28, -403
12:51:28, -377
12:51:28, -350
12:51:28, -340
12:51:28, -343
12:51:28, -327
12:51:28, -279
12:51:28, -233
12:51:28, -228
12:51:28, -246
12:51:28, -243
12:51:28, -217
12:51:28, -200
12:51:28, -198
12:51:28, -196
12:51:28, -193
12:51:28, -198
12:51:28, -203
12:51:28, -196
12:51:28, -181
12:51:28, -175
12:51:28, -183
12:51:28, -186
12:51:28, -167
12:51:28, -125
12:51:28, -85.4
12:51:28, -81.8
12:51:28, -113
12:51:28, -135
12:51:28, -117
12:51:28, -84.8
12:51:28, -82.2
12:51:28, -101
12:51:28, -100
12:51:28, -72.6
12:51:28, -49
12:51:28, -45.9
12:51:28, -46.5
12:51:28, -27.6
12:51:28, 9.97
12:51:28, 40.1
12:51:28, 39.6
12:51:28, 14.3
12:51:28, -15
12:51:28, -41.3
12:51:28, -66.6
12:51:28, -82.5
12:51:28, -77.1
12:51:28, -52.8
12:51:28, -24.3
12:51:28, -11.3
12:51:28, -25.9
12:51:28, -51.3
12:51:28, -50.5
12:51:28, -15.6
12:51:28, 29.6
12:51:28, 32.2
12:51:28, 21.1
12:51:28, 29.1
12:51:28, 57.5
12:51:28, 80.3
12:51:28, 82.1
12:51:28, 71.6
